City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Hilton Head,32.2163,-80.7526,51.98,53,0,8.05,US,1671488147
Englewood,39.6478,-104.9878,49.41,12,75,17.27,US,1671488219
Myrtle Beach,33.6891,-78.8867,49.03,62,0,0.0,US,1671488126
Largo,27.9095,-82.7873,72.14,53,0,7.0,US,1671487968
Slidell,30.2752,-89.7812,50.02,87,100,10.36,US,1671488199
Charleston,32.7766,-79.9309,50.29,58,0,8.05,US,1671488103
Davie,26.0629,-80.2331,74.01,68,75,12.66,US,1671488114
Doctor Phillips,28.4495,-81.4923,69.91,57,20,11.5,US,1671488220
Lakeland,28.0395,-81.9498,71.58,53,0,8.05,US,1671487942
Micco,27.8806,-80.5003,72.07,64,50,1.99,US,1671488046
DeLand,29.0283,-81.3031,69.15,63,0,8.05,US,1671488220
Orange,33.7,-117.7675,70.84,38,20,8.05,US,1671488221
Tamiami,25.7587,-80.3984,74.01,75,75,12.66,US,1671488141
Wilmington Island,32.0036,-80.9737,51.98,58,100,9.22,US,1671488221
Eustis,28.8528,-81.6853,69.98,58,0,6.91,US,1671488212
Oldsmar,28.0342,-82.6651,72.16,53,0,5.75,US,1671488190
Tamarac,26.2129,-80.2498,73.99,68,75,11.5,US,1671488222
Port Charlotte,26.9762,-82.0906,73.44,71,0,10.0,US,1671488101
Cypress Lake,26.5381,-81.8992,73.44,57,0,11.5,US,1671488222
Kissimmee,28.3047,-81.4167,70.2,52,0,11.5,US,1671487960
Lynn Haven,30.2455,-85.6483,59.11,35,40,5.75,US,1671488223
Iona,26.5204,-81.964,73.44,57,0,10.36,US,1671488223
Winter Haven,28.0222,-81.7329,69.8,52,0,6.91,US,1671487973
Venice,27.0998,-82.4543,73.42,49,0,9.22,US,1671488008
Deltona,28.9005,-81.2637,70.29,63,0,9.22,US,1671488111
Zephyrhills,28.2336,-82.1812,71.89,52,0,5.75,US,1671488089
Hobe Sound,27.0595,-80.1364,73.02,61,40,8.05,US,1671488224
Jasmine Estates,28.2931,-82.6901,72.1,53,1,3.0,US,1671488224
Tallahassee,30.4383,-84.2807,62.44,49,0,9.22,US,1671487963
West Palm Beach,26.7153,-80.0534,73.45,66,40,11.5,US,1671487652
Ft. Pierce,27.4467,-80.3256,72.07,61,0,8.01,US,1671488391
Lake Wales,27.9014,-81.5859,69.89,50,0,6.91,US,1671488225
Laurel,39.0993,-76.8483,39.69,55,0,10.36,US,1671487981
Gola Gokarannāth,28.0833,80.4667,56.12,60,6,6.49,IN,1671488225
Baytown,29.7355,-94.9774,48.16,75,100,14.41,US,1671487957
Natchitoches,31.7668,-93.1335,43.65,100,100,6.91,US,1671488226
Fredericksburg,38.3032,-77.4605,39.74,55,0,0.0,US,1671488066
